"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"897","RT @01Distribution: Ancora premi per #LaLaLand! A #damienchazelle il Director Guild of American Award 2017!! congrats Ì†ºÌæâÌ†ºÌæâ https://t.co/vLyZs‚Ä¶",FALSE,0,NA,2017-02-05 22:15:41,FALSE,NA,"828366513270882306",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","fabio_falzone",5,TRUE,FALSE,NA,NA
"898","RT @LaLaLand: Tonight is a lovely night to see #LALALAND. Ì†ºÌºÉ  Experience it in @IMAX and theaters everywhere now: https://t.co/uSgmIw12dA ht‚Ä¶",FALSE,0,NA,2017-02-05 22:15:34,FALSE,NA,"828366484565028869",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","michelle373737",271,TRUE,FALSE,NA,NA
"899","PerezHilton : #Split, #Rings, #TheSpaceBetweenUs, #LaLaLand, #ADogsPurpose, and SO many mo‚Ä¶ https://t.co/BVNu0cZM9e) https://t.co/nZU8fTFHRI",FALSE,0,NA,2017-02-05 22:15:27,FALSE,NA,"828366452109500421",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","celeb_magnate",0,FALSE,FALSE,NA,NA
"900","#Split, #Rings, #TheSpaceBetweenUs, #LaLaLand, #ADogsPurpose, and SO many more box office results right HERE!‚Ä¶ https://t.co/9TCr7Kmqu6",FALSE,24,NA,2017-02-05 22:15:11,TRUE,NA,"828366384593850375",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PerezHilton",5,FALSE,FALSE,NA,NA
"901","I wanted to love la la land but I didn't, Emma stone and Ryan Gosling are great actors but I didn't believe in them together #lalaland #wtf",FALSE,0,NA,2017-02-05 22:14:44,FALSE,NA,"828366272266113024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrincessPurpleX",1,FALSE,FALSE,NA,NA
"902","It's another day of #sun #lalaLand #dtla #losangeles #california #thejasontadeoshow #the110 @‚Ä¶ https://t.co/OTlGcbzlvl",FALSE,0,NA,2017-02-05 22:14:15,FALSE,NA,"828366153273708545",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tadeonia",0,FALSE,FALSE,NA,NA
"903","If you haven't seen it go see Lalaland !
It's incredibly human glorious and i loved it !
#LALALAND #Happy @LaLaLand 
https://t.co/5CAJBetaiH",FALSE,0,NA,2017-02-05 22:14:08,FALSE,NA,"828366121845813254",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RominetTest",0,FALSE,FALSE,NA,NA
"904","#LALALAND IS HONESTLY THE MOST MESMERISING AND AMAZING FILM I HAVE EVER SEEN I AM SO IN LOVEÌ†ΩÌ∏ª‚ù§Ô∏è",FALSE,0,NA,2017-02-05 22:13:50,FALSE,NA,"828366046402924548",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sugg_Sivan_",0,FALSE,FALSE,NA,NA
"905","Finally saw #LaLaLand its amazing. I loved it. Give it all the gold. Keep giving it ALL the gold.  @RyanGosling",FALSE,0,NA,2017-02-05 22:13:43,FALSE,NA,"828366018976313344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SaiyanHair",0,FALSE,FALSE,NA,NA
"906","RT @LaLaLand: Tonight is a lovely night to see #LALALAND. Ì†ºÌºÉ  Experience it in @IMAX and theaters everywhere now: https://t.co/uSgmIw12dA ht‚Ä¶",FALSE,0,NA,2017-02-05 22:13:10,FALSE,NA,"828365878630678528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GabrielleFault",271,TRUE,FALSE,NA,NA
